date,zip,neighborhood,rank,median,n_sitters
2026-06-28,78753,Windsor Hills,2,42.5,20
2026-06-28,ALL,AGGREGATE,,42.5,
2026-06-28,78753,Windsor Hills,NOT ON FIRST PAGE,40.0,20
2026-06-28,78723,Windsor Park,FAIL,,0
2026-06-28,78701,Downtown,FAIL,,0
2026-06-28,78757,Crestview,FAIL,,0
2026-06-28,78751,Hyde Park,FAIL,,0
2026-06-28,ALL,AGGREGATE,,40.0,
2026-06-28,78753,Windsor Hills,2,45.0,20
2026-06-28,78723,Windsor Park,NOT ON FIRST PAGE,39.0,20
2026-06-28,78701,Downtown,14,50.0,20
2026-06-28,78757,Crestview,3,50.0,20
2026-06-28,78751,Hyde Park,5,50.0,20
2026-06-28,ALL,AGGREGATE,,49.0,
2026-06-28,78753,Windsor Hills,2,45.0,20
2026-06-28,78723,Windsor Park,4,50.0,20
2026-06-28,78701,Downtown,14,50.0,20
2026-06-28,78757,Crestview,3,50.0,20
2026-06-28,78751,Hyde Park,5,50.0,20
2026-06-28,ALL,AGGREGATE,,50.0,
2026-06-29,78753,Windsor Hills,2,42.5,20
2026-06-29,78723,Windsor Park,NOT ON FIRST PAGE,39.0,20
2026-06-29,78701,Downtown,19,49.0,20
2026-06-29,78757,Crestview,NOT ON FIRST PAGE,38.0,20
2026-06-29,78751,Hyde Park,7,50.0,20
2026-06-29,ALL,AGGREGATE,,44.0,
2026-07-15,78753,Windsor Hills,3,45.0,20
2026-07-15,78723,Windsor Park,7,49.5,20
2026-07-15,78701,Downtown,NOT ON FIRST PAGE,49.0,20
2026-07-15,78757,Crestview,6,49.5,20
2026-07-15,78751,Hyde Park,10,50.0,20
2026-07-15,ALL,AGGREGATE,,49.0,
2026-07-16,78753,Windsor Hills,1,49.5,20
2026-07-16,78723,Windsor Park,4,48.5,20
2026-07-16,78701,Downtown,19,48.0,20
2026-07-16,78757,Crestview,2,50.0,20
2026-07-16,78751,Hyde Park,8,49.5,20
2026-07-16,ALL,AGGREGATE,,49.0,
2026-07-17,78753,Windsor Hills,1,49.5,20
2026-07-17,78723,Windsor Park,3,48.5,20
2026-07-17,78701,Downtown,12,48.5,20
2026-07-17,78757,Crestview,2,50.0,20
2026-07-17,78751,Hyde Park,6,49.5,20
2026-07-17,ALL,AGGREGATE,,49.5,
2026-07-18,78753,Windsor Hills,1,46.5,20
2026-07-18,78723,Windsor Park,2,48.5,20
2026-07-18,78701,Downtown,10,49.5,20
2026-07-18,78757,Crestview,2,49.5,20
2026-07-18,78751,Hyde Park,5,49.5,20
2026-07-18,ALL,AGGREGATE,,49.0,
2026-07-19,78753,Windsor Hills,1,48.0,20
2026-07-19,78723,Windsor Park,3,48.0,20
2026-07-19,78701,Downtown,11,48.5,20
2026-07-19,78757,Crestview,3,48.0,20
2026-07-19,78751,Hyde Park,5,49.5,20
2026-07-19,ALL,AGGREGATE,,48.0,
2026-07-21,78753,Windsor Hills,1,48.5,20
2026-07-21,78723,Windsor Park,3,49.5,20
2026-07-21,78701,Downtown,8,49.5,20
2026-07-21,78757,Crestview,2,49.5,20
2026-07-21,78751,Hyde Park,3,50.0,20
2026-07-21,ALL,AGGREGATE,,49.0,
2026-07-22,78753,Windsor Hills,1,46.5,20
2026-07-22,78723,Windsor Park,2,48.0,20
2026-07-22,78701,Downtown,8,49.5,20
2026-07-22,78757,Crestview,2,50.0,20
2026-07-22,78751,Hyde Park,4,48.5,20
2026-07-22,ALL,AGGREGATE,,49.0,
